ID.,性別,学年,専攻,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
10278,2,1,1,2,4,1,4,3,2,4,1,4,2,2,4,2,2,3,2,4,1,4,4
10279,2,1,1,4,4,1,3,3,1,3,2,1,3,1,2,3,2,1,3,1,1,1,3
10281,2,1,1,3,4,2,4,4,4,4,2,4,3,2,3,2,3,2,4,2,3,3,2
10290,2,1,1,3,3,3,4,2,4,4,2,3,2,4,4,3,3,4,2,4,2,4,1
10292,2,3,1,4,4,1,4,2,3,4,1,3,3,2,4,2,4,3,3,3,1,2,2
10293,1,1,1,3,2,1,3,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1,3
10301,2,1,1,1,4,1,4,1,2,4,1,3,2,2,4,1,1,4,3,4,1,4,4
10305,1,1,1,3,3,2,4,1,2,4,1,4,3,3,3,3,2,3,2,3,2,4,3
10306,1,1,1,3,3,2,3,3,2,4,1,2,3,2,3,3,3,2,2,3,2,2,2
10309,1,1,1,3,4,1,3,3,1,4,2,2,1,2,3,3,2,2,2,3,1,2,3
10310,1,1,1,3,3,1,4,3,1,4,3,4,3,1,3,3,3,2,2,4,1,3,1
10311,1,1,1,1,4,1,2,2,1,3,1,3,2,1,3,2,1,1,2,3,1,2,3
10323,2,1,1,3,4,2,4,2,3,4,1,2,2,3,4,2,2,2,2,3,1,1,3
10324,2,1,1,3,3,3,3,3,2,4,2,3,2,3,4,3,3,2,2,3,1,3,2
10325,2,1,1,2,4,1,4,4,1,4,2,4,3,2,4,3,2,3,3,3,1,4,4
10328,1,1,1,2,3,4,3,3,3,3,3,3,2,4,3,2,2,3,3,3,2,3,4
10329,2,2,1,3,4,2,4,4,2,4,1,2,4,2,4,3,4,3,2,4,1,2,1
10330,2,1,1,2,3,2,4,3,2,3,2,2,3,2,3,3,3,3,2,3,2,2,1
10331,2,1,1,3,3,2,3,3,3,3,2,2,3,2,3,2,3,2,3,3,2,2,2
10332,2,2,1,3,4,1,3,3,1,4,2,2,4,1,4,3,4,2,4,2,1,1,1
10333,2,2,1,2,3,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1
10334,2,1,1,3,2,2,4,3,3,4,1,4,3,3,4,3,3,3,3,4,1,3,2
10335,2,1,1,2,3,4,4,2,3,3,1,2,2,3,3,1,2,3,3,3,2,2,3
